allocation,alloc_300,alloc_9301400,alloc_2000,erp,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target
no_300_055,0,5,5,0.9,0.0,0.6214,0.0154,1133.3875000000007,1524.1919699999999,3.5324,15.8536,6.0836
no_300_055,0,5,5,0.8,0.0,0.6214,0.0154,1133.3875000000007,1524.1919699999999,3.5324,15.8536,6.0836
no_300_055,0,5,5,1.0,0.0,0.5668,0.0216,655.4250000000002,1244.8011150000002,3.6426,16.9404,6.2114
no_300_055,0,5,5,0.7,0.0,0.5564,0.0072,507.8000000000002,893.8760725000002,3.1902,14.5794,5.185
no_300_064,0,6,4,0.9,0.0,0.534,0.0078,334.25,863.1613650000004,3.111,15.997,6.0908
no_300_064,0,6,4,0.8,0.0,0.534,0.0078,334.25,863.1613650000004,3.111,15.997,6.0908
weighted_244,2,4,4,0.9,0.0,0.5142,0.006,121.92500000000018,631.5755337500004,2.991,15.7346,5.9756
weighted_244,2,4,4,0.8,0.0,0.5142,0.006,121.92500000000018,631.5755337500004,2.991,15.7346,5.9756
no_300_064,0,6,4,1.0,0.0,0.4692,0.009,-256.1875,490.15482250000014,3.2148,17.2468,6.2698
weighted_244,2,4,4,1.0,0.0,0.4708,0.008,-236.88749999999982,438.9003862499999,3.0976,16.5706,6.0312
no_300_073,0,7,3,0.9,0.0,0.4576,0.006,-320.0,304.45631000000003,2.744,16.1038,6.0852
no_300_073,0,7,3,0.8,0.0,0.4576,0.006,-320.0,304.45631000000003,2.744,16.1038,6.0852
weighted_244,2,4,4,0.7,0.0,0.4432,0.0022,-372.7999999999997,151.81181125000012,2.7264,14.7306,5.256
no_300_064,0,6,4,0.7,0.0,0.4472,0.0024,-347.9375,137.56305249999969,2.7158,14.4932,5.023
weighted_253,2,5,3,0.8,0.0,0.4222,0.0022,-506.46249999999964,-1.5322912500000712,2.569,15.7724,5.9218
weighted_253,2,5,3,0.9,0.0,0.4222,0.0022,-506.46249999999964,-1.5322912500000712,2.569,15.7724,5.9218
no_300_073,0,7,3,1.0,0.0,0.4006,0.0072,-908.0,-33.333920000000035,2.9008,17.4348,6.293
even_334,3,4,3,0.8,0.0,0.3948,0.002,-686.5062499999995,-145.52678250000008,2.4866,15.743,5.8528
even_334,3,4,3,0.9,0.0,0.3948,0.002,-686.5062499999995,-145.52678250000008,2.4866,15.743,5.8528
weighted_253,2,5,3,1.0,0.0,0.3828,0.004,-931.1999999999998,-200.49831625000024,2.7098,16.8036,6.0298
even_334,3,4,3,1.0,0.0,0.3716,0.003,-980.9249999999997,-275.39997749999975,2.601,16.3934,5.9104
no_300_073,0,7,3,0.7,0.0,0.3446,0.0006,-988.575,-514.5595250000001,2.2704,14.2552,4.845
weighted_253,2,5,3,0.7,0.0,0.3476,0.0004,-1006.0,-543.9955412500003,2.2536,14.454,5.0414
even_334,3,4,3,0.7,0.0,0.3266,0.0006,-1104.0,-575.6516499999998,2.2314,14.6162,5.1434
weighted_352,3,5,2,0.8,0.0,0.3088,0.0012,-1308.4499999999998,-700.5799924999997,2.0876,15.5514,5.7352
weighted_352,3,5,2,0.9,0.0,0.3088,0.0012,-1308.4499999999998,-700.5799924999997,2.0876,15.5514,5.7352
weighted_352,3,5,2,1.0,0.0,0.2972,0.001,-1620.4499999999998,-781.6856674999999,2.2606,16.3444,5.8078
no_300_055,0,5,5,0.5,0.0,0.2974,0.0006,-1532.0,-787.2348799999995,1.7924,12.5278,4.112
no_300_055,0,5,5,0.6,0.0,0.2974,0.0006,-1532.0,-787.2348799999995,1.7924,12.5278,4.112
no_300_055,0,5,5,0.1,0.0,0.0,0.0,-1078.0,-1092.8764,0.0,0.5886,0.0008
no_300_064,0,6,4,0.6,0.0,0.2414,0.0002,-1826.0,-1105.951365,1.6154,12.6526,4.117
no_300_064,0,6,4,0.5,0.0,0.2414,0.0002,-1826.0,-1105.951365,1.6154,12.6526,4.117
no_300_064,0,6,4,0.1,0.0,0.0,0.0,-1078.0,-1110.9476,0.0,0.6864,0.0014
weighted_244,2,4,4,0.1,0.0,0.0,0.0,-1078.0,-1125.04,0.0,0.7816,0.0062
no_300_073,0,7,3,0.1,0.0,0.0,0.0,-1078.0,-1129.058,0.0,0.7708,0.0014
weighted_253,2,5,3,0.1,0.0,0.0,0.0,-1176.0,-1143.3856,0.0,0.8778,0.0064
even_334,3,4,3,0.1,0.0,0.0,0.0,-1176.0,-1150.226,0.0,0.9562,0.0088
weighted_352,3,5,2,0.1,0.0,0.0,0.0,-1176.0,-1168.5716,0.0,1.0406,0.0088
all_9301400,0,10,0,0.1,0.0,0.0,0.0,-1176.0,-1183.056,0.0,1.0462,0.0028
weighted_352,3,5,2,0.7,0.0,0.2262,0.0004,-1826.0749999999998,-1185.8404475000002,1.7756,14.0894,4.8718
weighted_244,2,4,4,0.5,0.0,0.2222,0.0002,-1900.1374999999998,-1199.22087625,1.5368,12.3836,4.0318
weighted_244,2,4,4,0.6,0.0,0.2222,0.0002,-1900.1374999999998,-1199.22087625,1.5368,12.3836,4.0318
all_9301400,0,10,0,0.8,0.0,0.2258,0.0,-1924.0,-1208.6854524999999,1.5594,15.1474,5.6302
all_9301400,0,10,0,0.9,0.0,0.2258,0.0,-1924.0,-1208.6854524999999,1.5594,15.1474,5.6302
no_300_073,0,7,3,0.5,0.0,0.191,0.0,-2022.0,-1371.3903037500002,1.441,12.6572,4.1446
no_300_073,0,7,3,0.6,0.0,0.191,0.0,-2022.0,-1371.3903037500002,1.441,12.6572,4.1446
all_9301400,0,10,0,1.0,0.0,0.1918,0.0012,-2476.0,-1448.7092475,1.8606,16.9412,5.9742
weighted_253,2,5,3,0.5,0.0,0.177,0.0,-2031.2062499999997,-1482.387290625,1.3686,12.442,4.054
weighted_253,2,5,3,0.6,0.0,0.177,0.0,-2031.2062499999997,-1482.387290625,1.3686,12.442,4.054
even_334,3,4,3,0.6,0.0,0.163,0.0,-2123.125,-1550.6859862499998,1.3082,12.3612,4.0332
even_334,3,4,3,0.5,0.0,0.163,0.0,-2123.125,-1550.6859862499998,1.3082,12.3612,4.0332
no_300_055,0,5,5,0.2,0.0,0.0174,0.0,-1568.0,-1587.45835,0.022,3.8616,0.4966
no_300_055,0,5,5,0.4,0.0,0.0972,0.0,-2156.0,-1605.6760325,0.4562,7.6562,1.8728
weighted_244,2,4,4,0.2,0.0,0.0108,0.0,-1666.0,-1645.9175,0.0182,4.0862,0.5444
no_300_064,0,6,4,0.2,0.0,0.0174,0.0,-1666.0,-1673.66105,0.0246,4.24,0.5912
even_334,3,4,3,0.2,0.0,0.0134,0.0,-1764.0,-1712.7271349999999,0.019,4.4154,0.6464
weighted_253,2,5,3,0.2,0.0,0.015,0.0,-1764.0,-1729.32689,0.0228,4.4558,0.6416
no_300_064,0,6,4,0.4,0.0,0.0778,0.0,-2254.0,-1740.7593025,0.4012,7.7738,1.9254
no_300_073,0,7,3,0.2,0.0,0.0142,0.0,-1764.0,-1755.0493500000002,0.029,4.6364,0.6844
no_300_055,0,5,5,0.3,0.0,0.0378,0.0,-1862.0,-1762.26524,0.0726,5.103,1.0826
weighted_244,2,4,4,0.3,0.0,0.0304,0.0,-1862.0,-1785.99795,0.0606,5.0774,0.987
weighted_352,3,5,2,0.2,0.0,0.0128,0.0,-1862.0,-1795.2198649999998,0.0252,4.7818,0.7348
weighted_352,3,5,2,0.5,0.0,0.1172,0.0,-2411.35625,-1798.26523875,1.1314,12.2358,4.0074
weighted_352,3,5,2,0.6,0.0,0.1172,0.0,-2411.35625,-1798.26523875,1.1314,12.2358,4.0074
even_334,3,4,3,0.3,0.0,0.0264,0.0,-1960.0,-1844.482485,0.0646,5.3986,1.091
no_300_064,0,6,4,0.3,0.0,0.0276,0.0,-1960.0,-1894.18312,0.0816,5.7272,1.289
no_300_073,0,7,3,0.4,0.0,0.06,0.0,-2254.0,-1896.6396825,0.332,7.915,1.969
weighted_244,2,4,4,0.4,0.0,0.0752,0.0,-2450.0,-1906.6216925,0.4228,8.6208,2.2498
weighted_253,2,5,3,0.3,0.0,0.0232,0.0,-2058.0,-1913.448925,0.071,5.6908,1.1898
weighted_352,3,5,2,0.3,0.0,0.0202,0.0,-2058.0,-1964.2665,0.0802,6.024,1.2944
no_300_073,0,7,3,0.3,0.0,0.0218,0.0,-2156.0,-2001.36461,0.1006,6.3784,1.5052
all_9301400,0,10,0,0.2,0.0,0.0072,0.0,-2058.0,-2017.486405,0.0362,5.7838,0.9754
weighted_253,2,5,3,0.4,0.0,0.0554,0.0,-2450.0,-2042.0394625,0.3582,8.7022,2.2866
even_334,3,4,3,0.4,0.0,0.0596,0.0,-2548.0,-2067.14293,0.3864,9.1008,2.5142
all_9301400,0,10,0,0.5,0.0,0.0782,0.0,-2904.0,-2088.997775,0.8932,12.1556,4.015
all_9301400,0,10,0,0.6,0.0,0.0782,0.0,-2904.0,-2088.997775,0.8932,12.1556,4.015
all_9301400,0,10,0,0.7,0.0,0.0782,0.0,-2904.0,-2088.997775,0.8932,12.1556,4.015
weighted_352,3,5,2,0.4,0.0,0.0396,0.0,-2646.0,-2219.62153375,0.3102,9.1878,2.5472
all_9301400,0,10,0,0.3,0.0,0.0134,0.0,-2548.0,-2323.20684,0.142,8.259,2.1298
all_9301400,0,10,0,0.4,0.0,0.0134,0.0,-2548.0,-2323.20684,0.142,8.259,2.1298
