allocation,alloc_300,alloc_930,alloc_2000,erp,horizon,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target
weighted,2,5,3,0.9,84,0.0,0.3342,0.001,-1104.0,-565.48992125,2.0766,14.8244,5.519
weighted,2,5,3,0.8,84,0.0,0.3342,0.001,-1104.0,-565.48992125,2.0766,14.8244,5.519
weighted,2,5,3,1.0,84,0.0,0.3258,0.001,-1382.9874999999997,-618.1683387500002,2.2894,15.88,5.7034
even,4,3,3,0.8,84,0.0,0.2862,0.0002,-1532.0,-837.3871325,1.9916,14.8362,5.4212
even,4,3,3,0.9,84,0.0,0.2862,0.0002,-1532.0,-837.3871325,1.9916,14.8362,5.4212
even,4,3,3,1.0,84,0.0,0.2846,0.0004,-1629.6,-863.3206725,2.1208,15.5144,5.4992
weighted,2,5,3,0.7,84,0.0,0.2574,0.0004,-1728.0,-1042.15878625,1.7932,13.496,4.632
even,4,3,3,0.7,84,0.0,0.2466,0.0,-1826.0,-1105.2860225000002,1.8278,14.0136,4.866
weighted,2,5,3,0.1,84,0.0,0.0,0.0,-1078.0,-1115.338,0.0,0.7586,0.0074
even,4,3,3,0.1,84,0.0,0.0004,0.0,-1176.0,-1151.5148199999999,0.0004,0.9562,0.0182
weighted,2,5,3,0.2,84,0.0,0.01,0.0,-1666.0,-1634.19008,0.0134,4.0426,0.5126
even,4,3,3,0.2,84,0.0,0.0084,0.0,-1666.0,-1678.63728,0.0116,4.1104,0.5542
even,4,3,3,0.3,84,0.0,0.014,0.0,-1764.0,-1787.8008849999999,0.0256,4.75,0.824
weighted,2,5,3,0.3,84,0.0,0.0166,0.0,-1862.0,-1816.32767,0.0364,5.0992,0.9756
weighted,2,5,3,0.6,84,0.0,0.1162,0.0004,-2366.1499999999996,-1823.93739375,1.0342,11.6402,3.779
weighted,2,5,3,0.5,84,0.0,0.1162,0.0004,-2366.1499999999996,-1823.93739375,1.0342,11.6402,3.779
even,4,3,3,0.6,84,0.0,0.0998,0.0,-2512.0,-1934.87178875,0.9978,11.6468,3.7362
even,4,3,3,0.5,84,0.0,0.0998,0.0,-2512.0,-1934.87178875,0.9978,11.6468,3.7362
weighted,2,5,3,0.4,84,0.0,0.0352,0.0,-2450.0,-2103.6798949999998,0.2604,8.106,2.0246
even,4,3,3,0.4,84,0.0,0.0398,0.0,-2744.0,-2259.46899125,0.3136,9.2188,2.5042
