sessions,n_sessions,erp,scale,horizon,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target,eg_risk
930+2000,2,0.1,True,30,0.0,0.0,0.0,-980.0,-980.0,0.0,0.0,0.0,200.0
300+930+2000,3,0.1,True,30,0.0,0.0,0.0,-980.0,-980.0,0.0,0.0,0.0,200.0
2000,1,0.1,True,30,0.0,0.0,0.0,-980.0,-980.392,0.0,0.0,0.0,200.0
2000,1,0.1,False,30,0.0,0.0,0.0,-980.0,-980.392,0.0,0.0,0.0,200.0
300+2000,2,0.1,True,30,0.0,0.0,0.0,-980.0,-980.98,0.0,0.0,0.0,200.0
300+930,2,0.1,True,30,0.0,0.0,0.0,-980.0,-981.1759999999999,0.0,0.004,0.0,200.0
930,1,0.1,True,30,0.0,0.0,0.0,-980.0,-989.0160000000001,0.0,0.012,0.0,200.0
930,1,0.1,False,30,0.0,0.0,0.0,-980.0,-989.0160000000001,0.0,0.012,0.0,200.0
300+930+2000,3,0.2,True,30,0.0,0.0,0.0,-980.0,-992.348,0.0,0.04,0.0,400.0
930+2000,2,0.1,False,30,0.0,0.0,0.0,-980.0,-1013.3199999999999,0.0,0.078,0.0,400.0
930+2000,2,0.2,True,30,0.0,0.0,0.0,-980.0,-1013.3199999999999,0.0,0.078,0.0,400.0
300,1,0.1,True,30,0.0,0.0,0.0,-980.0,-1016.0640000000001,0.0,0.154,0.0,200.0
300,1,0.1,False,30,0.0,0.0,0.0,-980.0,-1016.0640000000001,0.0,0.154,0.0,200.0
2000,1,0.2,True,30,0.0,0.0,0.0,-980.0,-1018.0239999999999,0.0,0.036,0.0,400.0
2000,1,0.2,False,30,0.0,0.0,0.0,-980.0,-1018.0239999999999,0.0,0.036,0.0,400.0
2000,1,0.3,True,30,0.0,0.0,0.0,-980.0,-1018.0239999999999,0.0,0.036,0.0,600.0
2000,1,0.3,False,30,0.0,0.0,0.0,-980.0,-1018.0239999999999,0.0,0.036,0.0,600.0
300+2000,2,0.1,False,30,0.0,0.0,0.0,-980.0,-1060.36,0.0,0.364,0.0,400.0
300+2000,2,0.2,True,30,0.0,0.0,0.0,-980.0,-1060.36,0.0,0.364,0.0,400.0
300+930,2,0.1,False,30,0.0,0.0,0.0,-980.0,-1083.684,0.0,0.582,0.002,400.0
300+930,2,0.2,True,30,0.0,0.0,0.0,-980.0,-1083.684,0.0,0.582,0.002,400.0
300+930+2000,3,0.1,False,30,0.0,0.0,0.0,-980.0,-1121.316,0.0,0.918,0.002,600.0
