kind,p12_cfg,p3_cfg,horizon,p12_risk,p3_n_minis,p3_n_micros,p3_risk,p_zero,p_profit,p_goal,median_cash,mean_cash,median_net,mean_net,avg_payouts,avg_passed,avg_hit_target,avg_withdrawn,avg_eval_fees
cross,cfg_237,cfg_495,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1727.372,-980.0,-1272.628,0.0,1.702,0.022,0.0,1272.628
cross,cfg_237,cfg_493,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1727.372,-980.0,-1272.628,0.0,1.702,0.022,0.0,1272.628
cross,cfg_237,cfg_494,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1727.372,-980.0,-1272.628,0.0,1.702,0.022,0.0,1272.628
cross,cfg_237,cfg_406,30,0.2,0,5,165.0,0.0,0.0,0.0,2020.0,1727.372,-980.0,-1272.628,0.0,1.702,0.022,0.0,1272.628
cross,cfg_237,cfg_434,30,0.2,0,5,165.0,0.0,0.0,0.0,2020.0,1727.372,-980.0,-1272.628,0.0,1.702,0.022,0.0,1272.628
single,cfg_237,cfg_237,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1727.372,-980.0,-1272.628,0.0,1.702,0.022,0.0,1272.628
cross,cfg_034,cfg_434,30,0.2,0,5,165.0,0.0,0.0002,0.0002,2020.0,1707.4106,-980.0,-1292.5894,0.002,1.86,0.034,3.5585999999999993,1296.148
cross,cfg_035,cfg_434,30,0.2,0,5,165.0,0.0,0.0002,0.0002,2020.0,1707.4106,-980.0,-1292.5894,0.002,1.86,0.034,3.5585999999999993,1296.148
cross,cfg_034,cfg_406,30,0.2,0,5,165.0,0.0,0.0002,0.0002,2020.0,1707.3557,-980.0,-1292.6443,0.002,1.86,0.034,3.5037,1296.148
cross,cfg_035,cfg_406,30,0.2,0,5,165.0,0.0,0.0002,0.0002,2020.0,1707.3557,-980.0,-1292.6443,0.002,1.86,0.034,3.5037,1296.148
cross,cfg_034,cfg_495,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1703.852,-980.0,-1296.148,0.0,1.86,0.034,0.0,1296.148
cross,cfg_034,cfg_493,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1703.852,-980.0,-1296.148,0.0,1.86,0.034,0.0,1296.148
cross,cfg_034,cfg_494,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1703.852,-980.0,-1296.148,0.0,1.86,0.034,0.0,1296.148
cross,cfg_035,cfg_495,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1703.852,-980.0,-1296.148,0.0,1.86,0.034,0.0,1296.148
cross,cfg_035,cfg_493,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1703.852,-980.0,-1296.148,0.0,1.86,0.034,0.0,1296.148
cross,cfg_035,cfg_494,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1703.852,-980.0,-1296.148,0.0,1.86,0.034,0.0,1296.148
single,cfg_034,cfg_034,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1703.852,-980.0,-1296.148,0.0,1.86,0.034,0.0,1296.148
single,cfg_035,cfg_035,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1703.852,-980.0,-1296.148,0.0,1.86,0.034,0.0,1296.148
cross,cfg_243,cfg_434,30,0.2,0,5,165.0,0.0,0.0002,0.0002,2020.0,1702.2811,-980.0,-1297.7189,0.002,1.712,0.018,3.329099999999999,1301.048
cross,cfg_243,cfg_495,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1698.952,-980.0,-1301.048,0.0,1.712,0.018,0.0,1301.048
cross,cfg_243,cfg_493,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1698.952,-980.0,-1301.048,0.0,1.712,0.018,0.0,1301.048
cross,cfg_243,cfg_494,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1698.952,-980.0,-1301.048,0.0,1.712,0.018,0.0,1301.048
cross,cfg_243,cfg_406,30,0.2,0,5,165.0,0.0,0.0,0.0,2020.0,1698.952,-980.0,-1301.048,0.0,1.712,0.018,0.0,1301.048
single,cfg_243,cfg_243,30,0.2,0,3,150.0,0.0,0.0,0.0,2020.0,1698.952,-980.0,-1301.048,0.0,1.712,0.018,0.0,1301.048
cross,cfg_003,cfg_434,30,0.3,0,5,165.0,0.0,0.0004,0.0004,2020.0,1536.18675,-980.0,-1463.81325,0.004,2.976,0.126,6.77475,1470.588
cross,cfg_003,cfg_406,30,0.3,0,5,165.0,0.0,0.0002,0.0002,2020.0,1533.012,-980.0,-1466.988,0.002,2.976,0.126,3.6,1470.588
cross,cfg_003,cfg_495,30,0.3,0,3,150.0,0.0,0.0,0.0,2020.0,1529.412,-980.0,-1470.588,0.0,2.976,0.126,0.0,1470.588
cross,cfg_003,cfg_493,30,0.3,0,3,150.0,0.0,0.0,0.0,2020.0,1529.412,-980.0,-1470.588,0.0,2.976,0.126,0.0,1470.588
cross,cfg_003,cfg_494,30,0.3,0,3,150.0,0.0,0.0,0.0,2020.0,1529.412,-980.0,-1470.588,0.0,2.976,0.126,0.0,1470.588
single,cfg_003,cfg_003,30,0.3,0,3,150.0,0.0,0.0,0.0,2020.0,1529.412,-980.0,-1470.588,0.0,2.976,0.126,0.0,1470.588
cross,cfg_003,cfg_406,84,0.3,0,5,165.0,0.0,0.1752,0.1736,1040.0,4426.85845,-1960.0,1426.8584499999997,2.558,8.51,2.662,3584.03445,2157.176
cross,cfg_003,cfg_434,84,0.3,0,5,165.0,0.0,0.1742,0.1728,1040.0,4399.73820625,-1960.0,1399.73820625,2.524,8.506,2.662,3556.32620625,2156.588
cross,cfg_034,cfg_434,84,0.2,0,5,165.0,0.0,0.0944,0.093,1040.0,2867.4554875,-1960.0,-132.5445125000001,1.29,6.852,1.662,1776.4954875,1909.04
cross,cfg_035,cfg_434,84,0.2,0,5,165.0,0.0,0.0944,0.093,1040.0,2867.4554875,-1960.0,-132.5445125000001,1.29,6.852,1.662,1776.4954875,1909.04
cross,cfg_034,cfg_406,84,0.2,0,5,165.0,0.0,0.093,0.0916,1040.0,2864.917525,-1960.0,-135.08247500000016,1.286,6.852,1.662,1774.545525,1909.628
cross,cfg_035,cfg_406,84,0.2,0,5,165.0,0.0,0.093,0.0916,1040.0,2864.917525,-1960.0,-135.08247500000016,1.286,6.852,1.662,1774.545525,1909.628
cross,cfg_237,cfg_434,84,0.2,0,5,165.0,0.0,0.0854,0.0832,1040.0,2750.3159875,-1960.0,-249.68401249999988,1.166,6.61,1.546,1594.0879875,1843.772
cross,cfg_237,cfg_406,84,0.2,0,5,165.0,0.0,0.0834,0.0816,1040.0,2718.0820375,-1960.0,-281.91796250000016,1.126,6.61,1.546,1561.8540375,1843.772
cross,cfg_243,cfg_434,84,0.2,0,5,165.0,0.0,0.0704,0.0692,1040.0,2401.014575,-1960.0,-598.9854249999999,0.952,6.298,1.24,1322.794575,1921.78
cross,cfg_243,cfg_406,84,0.2,0,5,165.0,0.0,0.0686,0.0672,1040.0,2344.371675,-1960.0,-655.6283250000001,0.912,6.298,1.24,1266.543675,1922.172
single,cfg_003,cfg_003,84,0.3,0,3,150.0,0.0,0.04,0.04,1040.0,1546.8884,-1960.0,-1453.1116,0.402,8.506,2.662,702.1044,2155.216
cross,cfg_003,cfg_493,84,0.3,0,3,150.0,0.0,0.04,0.0396,1040.0,1545.81965,-1960.0,-1454.18035,0.402,8.506,2.662,701.03565,2155.216
cross,cfg_003,cfg_495,84,0.3,0,3,150.0,0.0,0.036,0.0354,1040.0,1482.2747,-1960.0,-1517.7253,0.366,8.506,2.662,637.4907,2155.216
cross,cfg_003,cfg_494,84,0.3,0,3,150.0,0.0,0.0356,0.0352,1040.0,1480.90805,-1960.0,-1519.09195,0.366,8.506,2.662,636.12405,2155.216
single,cfg_034,cfg_034,84,0.2,0,3,150.0,0.0,0.0222,0.0222,1040.0,1470.3744,-1960.0,-1529.6256,0.224,6.852,1.662,379.0224,1908.648
single,cfg_035,cfg_035,84,0.2,0,3,150.0,0.0,0.0222,0.0222,1040.0,1470.3744,-1960.0,-1529.6256,0.224,6.852,1.662,379.0224,1908.648
cross,cfg_237,cfg_495,84,0.2,0,3,150.0,0.0,0.0158,0.0158,1040.0,1427.53485,-1960.0,-1572.46515,0.158,6.61,1.546,270.91485,1843.38
single,cfg_237,cfg_237,84,0.2,0,3,150.0,0.0,0.0148,0.0148,1040.0,1417.8711,-1960.0,-1582.1289,0.15,6.61,1.546,261.2511,1843.38
cross,cfg_237,cfg_494,84,0.2,0,3,150.0,0.0,0.0148,0.0148,1040.0,1411.93605,-1960.0,-1588.06395,0.148,6.61,1.546,255.31605,1843.38
cross,cfg_034,cfg_493,84,0.2,0,3,150.0,0.0,0.0186,0.0186,1040.0,1411.1328,-1960.0,-1588.8672,0.188,6.852,1.662,319.7808,1908.648
cross,cfg_035,cfg_493,84,0.2,0,3,150.0,0.0,0.0186,0.0186,1040.0,1411.1328,-1960.0,-1588.8672,0.188,6.852,1.662,319.7808,1908.648
cross,cfg_237,cfg_493,84,0.2,0,3,150.0,0.0,0.0146,0.0146,1040.0,1409.7693,-1960.0,-1590.2307,0.146,6.61,1.546,253.1493,1843.38
