account,budget,goal,allocation,alloc_300,alloc_9301400,alloc_2000,erp,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target
100K,4725.0,20475.0,no_300_055,0,5,5,0.1,0.0,0.0,0.0,-1732.5,-1754.6129999999998,0.0,0.1342,0.0
100K,4725.0,20475.0,no_300_064,0,6,4,0.1,0.0,0.0,0.0,-1732.5,-1783.341,0.0,0.1598,0.0
100K,4725.0,20475.0,weighted_244,2,4,4,0.1,0.0,0.0,0.0,-1732.5,-1805.5169999999998,0.0,0.2164,0.0
100K,4725.0,20475.0,no_300_073,0,7,3,0.1,0.0,0.0,0.0,-1732.5,-1812.069,0.0,0.1878,0.0
100K,4725.0,20475.0,weighted_253,2,5,3,0.1,0.0,0.0,0.0,-1732.5,-1834.6545,0.0,0.2414,0.0
100K,4725.0,20475.0,even_334,3,4,3,0.1,0.0,0.0,0.0,-1890.0,-1844.955,0.0,0.281,0.0002
100K,4725.0,20475.0,weighted_352,3,5,2,0.1,0.0,0.0,0.0,-1890.0,-1874.0610000000001,0.0,0.3012,0.0002
100K,4725.0,20475.0,all_9301400,0,10,0,0.1,0.0,0.0,0.0,-1890.0,-1897.8435,0.0,0.2664,0.0
100K,4725.0,20475.0,weighted_244,2,4,4,0.2,0.0,0.0,0.0,-2205.0,-2143.44,0.0002,1.2126,0.0284
100K,4725.0,20475.0,no_300_055,0,5,5,0.2,0.0,0.0,0.0,-2205.0,-2146.7565,0.0,1.3076,0.0298
100K,4725.0,20475.0,even_334,3,4,3,0.2,0.0,0.0002,0.0,-2205.0,-2189.8395,0.0002,1.3336,0.0294
100K,4725.0,20475.0,weighted_253,2,5,3,0.2,0.0,0.0006,0.0,-2205.0,-2247.813,0.0006,1.4494,0.0358
100K,4725.0,20475.0,no_300_064,0,6,4,0.2,0.0,0.0004,0.0,-2205.0,-2248.2855,0.0006,1.5562,0.0376
100K,4725.0,20475.0,weighted_352,3,5,2,0.2,0.0,0.0,0.0,-2205.0,-2292.5295,0.0002,1.5746,0.0332
100K,4725.0,20475.0,no_300_073,0,7,3,0.2,0.0,0.0,0.0,-2362.5,-2350.7505,0.0,1.811,0.043
100K,4725.0,20475.0,no_300_055,0,5,5,0.3,0.0,0.0,0.0,-2362.5,-2424.114,0.0,2.298,0.0418
100K,4725.0,20475.0,no_300_064,0,6,4,0.3,0.0,0.0,0.0,-2520.0,-2468.6595,0.0006,2.351,0.0466
100K,4725.0,20475.0,no_300_073,0,7,3,0.3,0.0,0.0,0.0,-2520.0,-2515.2435,0.0,2.4104,0.0496
100K,4725.0,20475.0,all_9301400,0,10,0,0.2,0.0,0.0,0.0,-2677.5,-2660.544,0.0002,2.562,0.0622
100K,4725.0,20475.0,all_9301400,0,10,0,0.3,0.0,0.0,0.0,-2677.5,-2660.544,0.0002,2.562,0.0622
100K,4725.0,20475.0,weighted_244,2,4,4,0.3,0.0,0.0008,0.0,-2677.5,-2707.929,0.0028,2.8668,0.1888
100K,4725.0,20475.0,weighted_253,2,5,3,0.3,0.0,0.0012,0.0,-2677.5,-2756.385,0.004,2.906,0.1942
100K,4725.0,20475.0,even_334,3,4,3,0.3,0.0002,0.0004,0.0,-2835.0,-2872.188,0.0038,3.239,0.2598
100K,4725.0,20475.0,weighted_352,3,5,2,0.3,0.0,0.0004,0.0,-2835.0,-2920.7475,0.0048,3.2702,0.2612
100K,4725.0,20475.0,all_9301400,0,10,0,0.9,0.2556,0.1046,0.0,-4207.5,-3124.28043,1.4006,14.2404,5.0836
100K,4725.0,20475.0,no_300_073,0,7,3,0.9,0.354,0.0678,0.0,-4443.75,-3445.89894,1.0456,13.1068,4.6592
100K,4725.0,20475.0,no_300_064,0,6,4,0.9,0.402,0.0554,0.0,-4680.0,-3579.289515,0.9152,12.7178,4.4868
100K,4725.0,20475.0,no_300_055,0,5,5,0.9,0.4532,0.0432,0.0,-4680.0,-3720.66408,0.7764,12.2954,4.3566
100K,4725.0,20475.0,weighted_253,2,5,3,0.9,0.437,0.0342,0.0,-4680.0,-3821.223105,0.8324,12.2402,4.1798
100K,4725.0,20475.0,weighted_352,3,5,2,0.9,0.4212,0.0316,0.0,-4680.0,-3866.2349400000003,0.859,12.227,4.1274
100K,4725.0,20475.0,weighted_244,2,4,4,0.9,0.487,0.0272,0.0,-4680.0,-3937.332465,0.7078,11.851,4.0386
