account,p3_risk_pct,p3_label,p3_n_minis,p3_n_micros,p3_risk,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_target
25K,0.0,min_wd,0,25,995.0,0.3948,0.0512,0.0,-1898.2625,-1558.4878675,0.8842,6.6076
25K,0.05,0.050,0,10,415.0,0.8834,0.0,0.0,-2100.0,-2067.954,0.0,6.3256
25K,0.075,0.075,0,15,580.0,0.8834,0.0,0.0,-2100.0,-2067.954,0.0,6.3256
25K,0.1,0.100,0,25,995.0,0.3948,0.0512,0.0,-1898.2625,-1558.4878675,0.8842,6.6076
25K,0.125,0.125,0,25,995.0,0.3948,0.0512,0.0,-1898.2625,-1558.4878675,0.8842,6.6076
25K,0.15,0.150,0,35,1410.0,0.0012,0.931,0.1122,3719.3375000000005,3792.5779725,9.921,7.8722
25K,0.175,0.175,0,40,1575.0,0.0014,0.9354,0.13,3871.28125,3940.2848125,9.9952,7.8942
25K,0.2,0.200,0,50,1990.0,0.0016,0.9462,0.2128,4468.487499999999,4607.180373125,10.8894,8.1422
25K,0.25,0.250,0,60,2405.0,0.002,0.9412,0.249,4665.825,4839.350165312499,10.7722,8.267
25K,0.3,0.300,0,75,2985.0,0.0028,0.933,0.2648,4795.90625,4957.304257499999,10.5074,8.4094
25K,0.4,0.400,5,40,3650.0,0.0034,0.9254,0.2788,4861.75,5006.1560896875,10.1736,8.5224
25K,0.5,0.500,10,0,4150.0,0.004,0.9168,0.288,4856.681250000001,5014.27815875,10.0036,8.5644
25K,0.7,0.700,15,0,5800.0,0.0064,0.8862,0.249,4389.3625,4548.517655,9.2808,8.866
50K,0.0,min_wd,0,40,1575.0,0.052,0.6214,0.0162,1135.6500000000005,1525.3875699999999,3.5324,6.0824
50K,0.05,0.050,0,25,995.0,0.4176,0.1098,0.0,-2422.575,-1906.96487,0.8376,5.396
50K,0.075,0.075,0,35,1410.0,0.3988,0.1216,0.0,-2316.0,-1820.2868125,0.8988,5.412
50K,0.1,0.100,0,50,1990.0,0.0034,0.9646,0.549,10474.10625,10473.245029375,10.4916,6.6694
50K,0.125,0.125,0,60,2405.0,0.0032,0.9728,0.6346,11897.165625000001,11898.349121562502,12.0128,6.8076
50K,0.15,0.150,0,75,2985.0,0.0032,0.9732,0.6402,12093.962500000001,12163.9270603125,11.8664,6.856
50K,0.175,0.175,5,35,3400.0,0.0036,0.972,0.6484,12342.9796875,12407.9512740625,11.7086,6.9018
50K,0.2,0.200,5,40,3650.0,0.0036,0.9708,0.6534,12407.39375,12557.317143437498,11.5702,6.9428
50K,0.25,0.250,10,0,4150.0,0.0046,0.9688,0.6658,12856.537499999999,13014.2436003125,11.4034,6.9976
50K,0.3,0.300,10,0,4150.0,0.0046,0.9688,0.6658,12856.537499999999,13014.2436003125,11.4034,6.9976
50K,0.4,0.400,15,0,5800.0,0.0048,0.9686,0.6648,12904.14375,13041.291109687498,11.3068,7.0106
50K,0.5,0.500,25,0,9950.0,0.0086,0.9406,0.6052,11811.375,12110.290395625001,9.9878,7.3094
