combo_id,allowed_sessions,rr_ratio,require_bos,momentum_only,disp_min_atr_mult,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
4c7073a02d60,NY,0.5,True,True,0.0,1724,0.6752,0.0308,0.5,-0.4467,50K,fixed_dollar,0.6,0.6,0.388,12.74
88f88e524338,NY,0.5,True,True,1.0,1792,0.673,0.0254,0.5,-0.8126,50K,fixed_dollar,0.2,0.6,0.32,13.05
d0aa2eeec318,NY,0.5,True,True,2.0,369,0.71,0.0648,0.5,5.3275,50K,fixed_dollar,0.4,0.6,0.496,10.31
fa821412634a,NY,0.5,True,False,0.0,1592,0.6683,0.0188,0.5,-1.1545,50K,fixed_dollar,0.2,0.6,0.272,12.14
9950a0c8ed07,NY,0.5,True,False,1.0,1747,0.6743,0.028,0.5,-0.6851,50K,fixed_dollar,0.2,0.6,0.33,7.66
d9474cba71dc,NY,0.5,True,False,2.0,459,0.7081,0.0636,0.5,4.4687,50K,fixed_dollar,0.4,0.6,0.502,9.17
fb5d316a2138,NY,0.5,False,True,0.0,1251,0.6387,-0.0218,0.5,-2.0065,50K,floor_aware,0.2,0.2,0.146,7.22
bd46c67b384d,NY,0.5,False,True,1.0,1204,0.6321,-0.0244,0.5,-2.0086,50K,floor_aware,0.2,0.2,0.134,10.94
00450910a6d3,NY,0.5,False,True,2.0,810,0.5753,-0.1268,0.5,-4.0272,50K,floor_aware,0.2,0.2,0.042,8.51
fce915ef7aab,NY,0.5,False,False,0.0,1066,0.6126,-0.0607,0.5,-2.4849,50K,floor_aware,0.2,0.2,0.064,8.67
b29a076966e8,NY,0.5,False,False,1.0,1015,0.6049,-0.0682,0.5,-2.4746,50K,floor_aware,0.2,0.2,0.054,9.0
4e7ff1d986fe,NY,0.5,False,False,2.0,842,0.5808,-0.1181,0.5,-3.6663,50K,floor_aware,0.2,0.2,0.054,13.66
ca6068777158,NY,0.75,True,True,0.0,1453,0.5767,0.0165,0.5,-1.4901,50K,fixed_dollar,0.2,0.4,0.292,8.56
f8129a8b9146,NY,0.75,True,True,1.0,1517,0.5755,0.0144,0.5,-1.1096,50K,fixed_dollar,0.2,0.6,0.312,10.64
f3e7a556f8bb,NY,0.75,True,True,2.0,369,0.6287,0.1001,0.5,9.6599,50K,fixed_dollar,0.4,0.6,0.538,9.44
d3855b39efd3,NY,0.75,True,False,0.0,1316,0.56,-0.0081,0.5,-2.3504,50K,floor_aware,0.2,0.2,0.216,9.67
60f70d7ee203,NY,0.75,True,False,1.0,1576,0.5742,0.0139,0.5,-1.1962,50K,fixed_dollar,0.2,0.6,0.296,9.65
61c88334996b,NY,0.75,True,False,2.0,448,0.6161,0.0782,0.5,4.6423,50K,fixed_dollar,0.4,0.6,0.436,7.32
5f4acc73f627,NY,0.75,False,True,0.0,1760,0.5818,0.0198,0.5,-1.7523,50K,floor_aware,0.2,0.2,0.26,7.07
06e2fb97a414,NY,0.75,False,True,1.0,1354,0.5716,0.0082,0.5,-2.0349,50K,fixed_dollar,0.2,0.4,0.228,9.36
e5bd5fce587a,NY,0.75,False,True,2.0,1112,0.5405,-0.0493,0.5,-3.3896,50K,floor_aware,0.2,0.2,0.144,8.31
2eab1cc6a0e6,NY,0.75,False,False,0.0,1134,0.5441,-0.0421,0.5,-2.8294,50K,floor_aware,0.2,0.2,0.13,7.31
3984512d9023,NY,0.75,False,False,1.0,1182,0.5499,-0.0329,0.5,-2.7729,50K,floor_aware,0.2,0.2,0.15,7.62
e090b73b5aa9,NY,0.75,False,False,2.0,1077,0.5413,-0.0476,0.5,-3.2611,50K,fixed_dollar,0.2,0.6,0.128,9.38
69905ea0b785,NY,1.0,True,True,0.0,1416,0.5078,0.0209,0.5,-1.0284,50K,fixed_dollar,0.2,0.6,0.32,8.87
11d227f40a8c,NY,1.0,True,True,1.0,1225,0.4922,-0.0114,0.5,-2.6289,50K,fixed_dollar,0.2,0.6,0.228,9.21
5c43da9b079c,NY,1.0,True,True,2.0,368,0.5571,0.114,0.5,12.0541,50K,fixed_dollar,0.4,0.6,0.528,7.66
8b272d356483,NY,1.0,True,False,0.0,1039,0.4706,-0.0501,0.5,-3.5945,50K,fixed_dollar,0.2,0.2,0.14,9.16
ed192fb68f97,NY,1.0,True,False,1.0,1303,0.4896,-0.0146,0.5,-2.8838,50K,floor_aware,0.2,0.2,0.238,10.26
75e38f148c00,NY,1.0,True,False,2.0,435,0.5448,0.0893,0.5,7.0217,50K,fixed_dollar,0.4,0.6,0.428,10.42
455744cdf9c9,NY,1.0,False,True,0.0,1958,0.5204,0.0415,0.5,-0.2811,50K,fixed_dollar,0.2,0.6,0.366,10.04
79c5d4113c0a,NY,1.0,False,True,1.0,1749,0.5192,0.0376,0.5,-1.2747,50K,fixed_dollar,0.6,0.6,0.386,9.04
0c6710a02647,NY,1.0,False,True,2.0,1324,0.4955,-0.0091,0.5,-2.3704,50K,fixed_dollar,0.4,0.4,0.338,10.94
b78b24a13b0a,NY,1.0,False,False,0.0,1432,0.4972,-0.0014,0.5,-2.4294,50K,fixed_dollar,0.2,0.4,0.242,12.55
35b932a8f9c4,NY,1.0,False,False,1.0,1372,0.4978,-0.0019,0.5,-2.4487,50K,fixed_dollar,0.2,0.6,0.232,9.17
88e761a33231,NY,1.0,False,False,2.0,1311,0.4935,-0.0138,0.5,-2.5272,50K,fixed_dollar,0.2,0.4,0.254,13.78
9bf7734bb37f,NY,1.25,True,True,0.0,1089,0.4316,-0.0228,0.5,-2.8371,50K,fixed_dollar,0.2,0.4,0.234,11.01
7178bcb73782,NY,1.25,True,True,1.0,964,0.418,-0.051,0.5,-3.6586,50K,fixed_dollar,0.2,0.6,0.198,8.1
8f3841353a6f,NY,1.25,True,True,2.0,367,0.515,0.1569,0.5,12.7251,100K,fixed_dollar,0.4,0.6,0.434,8.89
f3e818b12d68,NY,1.25,True,False,0.0,1097,0.4239,-0.0366,0.5,-3.5627,50K,fixed_dollar,0.2,0.2,0.202,11.42
64ecb02daf34,NY,1.25,True,False,1.0,999,0.4134,-0.0607,0.5,-3.8881,50K,fixed_dollar,0.2,0.4,0.188,8.13
7ed060951140,NY,1.25,True,False,2.0,427,0.5012,0.1275,0.5,8.7542,50K,fixed_dollar,0.4,0.4,0.432,8.16
b7410581834f,NY,1.25,False,True,0.0,1967,0.4662,0.0484,0.5,-0.613,50K,fixed_dollar,0.2,0.2,0.364,8.67
decf95450b3d,NY,1.25,False,True,1.0,1336,0.4513,0.0158,0.5,-2.5784,50K,floor_aware,0.2,0.2,0.26,10.56
c60c15f2c37d,NY,1.25,False,True,2.0,1657,0.4659,0.0471,0.5,-0.5767,50K,fixed_dollar,0.2,0.6,0.326,8.34
e3e0eaf53fa4,NY,1.25,False,False,0.0,1567,0.4537,0.0258,0.5,-2.0372,50K,fixed_dollar,0.2,0.4,0.292,9.41
fa498f1652b4,NY,1.25,False,False,1.0,1201,0.4371,-0.0181,0.5,-3.037,50K,floor_aware,0.2,0.2,0.194,8.02
07cec40ded01,NY,1.25,False,False,2.0,1555,0.4572,0.0276,0.5,-1.9481,50K,fixed_dollar,0.2,0.6,0.28,8.71
94d6ad2911f7,NY,1.5,True,True,0.0,1126,0.3952,-0.011,0.5,-2.9718,50K,fixed_dollar,0.2,0.6,0.244,9.93
ed9e7b2a56bc,NY,1.5,True,True,1.0,1315,0.4023,0.0052,0.5,-2.3803,50K,fixed_dollar,0.2,0.6,0.28,8.26
4b69b69f2959,NY,1.5,True,True,2.0,368,0.4647,0.1547,0.5,7.4464,50K,fixed_dollar,0.4,0.6,0.414,8.02
083dc28c5560,NY,1.5,True,False,0.0,909,0.3685,-0.0675,0.5,-4.5495,50K,fixed_dollar,0.2,0.2,0.184,12.22
405253be4a39,NY,1.5,True,False,1.0,923,0.3684,-0.0725,0.5,-4.5188,50K,fixed_dollar,0.2,0.2,0.186,8.46
0db841f53c17,NY,1.5,True,False,2.0,420,0.4548,0.1318,0.5,5.1438,50K,fixed_dollar,0.2,0.4,0.492,8.32
24a0932ecdd0,NY,1.5,False,True,0.0,1907,0.4227,0.0529,0.5,-1.0576,50K,fixed_dollar,0.2,0.4,0.354,8.24
0bda1d05bba2,NY,1.5,False,True,1.0,1666,0.4196,0.0454,0.5,-1.7215,50K,fixed_dollar,0.2,0.6,0.326,12.09
634240c3bbf4,NY,1.5,False,True,2.0,1690,0.4249,0.0592,0.5,-0.0342,50K,fixed_dollar,0.2,0.4,0.36,8.4
555b0aa05744,NY,1.5,False,False,0.0,1650,0.4145,0.0368,0.5,-0.8953,50K,fixed_dollar,0.2,0.6,0.344,8.28
1a0088bf951e,NY,1.5,False,False,1.0,1368,0.4064,0.0111,0.5,-2.3467,50K,fixed_dollar,0.2,0.6,0.284,10.09
f5d23a64d502,NY,1.5,False,False,2.0,1785,0.428,0.0662,0.5,0.4265,50K,fixed_dollar,0.2,0.4,0.376,10.25
cd7af0f2f423,London+NY,0.5,True,True,0.0,717,0.3919,-0.0848,0.5,-1.7093,50K,fixed_dollar,0.2,0.2,0.004,9.31
afe6414eea4f,London+NY,0.5,True,True,1.0,766,0.4465,-0.0635,0.5,-1.4636,50K,floor_aware,0.2,0.2,0.03,11.63
540a2efd7eb6,London+NY,0.5,True,True,2.0,759,0.6179,-0.0322,0.5,-1.5391,50K,fixed_dollar,0.4,0.6,0.298,8.83
eaf4f974eec2,London+NY,0.5,True,False,0.0,725,0.3793,-0.0588,0.5,-1.4936,50K,floor_aware,0.2,0.2,0.002,10.14
4a715193870b,London+NY,0.5,True,False,1.0,736,0.3886,-0.0656,0.5,-1.5014,50K,floor_aware,0.2,0.2,0.01,11.04
b528ca2e4c4e,London+NY,0.5,True,False,2.0,871,0.6119,-0.0306,0.5,-1.6661,50K,floor_aware,0.2,0.2,0.222,8.93
b9d342e30fa0,London+NY,0.5,False,True,0.0,734,0.3815,-0.0667,0.5,-1.4244,50K,floor_aware,0.2,0.2,0.006,10.39
25f1c9e8cacc,London+NY,0.5,False,True,1.0,685,0.3474,-0.0931,0.5,-1.6594,50K,floor_aware,0.2,0.2,0.002,9.9
c4e8678179fd,London+NY,0.5,False,True,2.0,645,0.4698,-0.1535,0.5,-2.8124,50K,floor_aware,0.2,0.2,0.002,8.13
cc10917cfac0,London+NY,0.5,False,False,0.0,732,0.3784,-0.0796,0.5,-1.5309,50K,floor_aware,0.2,0.2,0.004,8.93
334a4c6c7327,London+NY,0.5,False,False,1.0,711,0.3502,-0.0843,0.5,-1.8732,50K,floor_aware,0.2,0.2,0.0,9.62
dbb23901f424,London+NY,0.5,False,False,2.0,641,0.4555,-0.1442,0.5,-2.4761,50K,floor_aware,0.2,0.2,0.006,8.86
1f3c4365765d,London+NY,0.75,True,True,0.0,702,0.4772,-0.0916,0.5,-1.8949,50K,floor_aware,0.2,0.2,0.02,8.34
356b4bdb6b05,London+NY,0.75,True,True,1.0,753,0.51,-0.0671,0.5,-1.5955,50K,floor_aware,0.2,0.2,0.052,9.19
58fff20836de,London+NY,0.75,True,True,2.0,829,0.5694,0.0073,0.5,-0.6267,50K,fixed_dollar,0.4,0.6,0.392,10.78
d0c65e61ad03,London+NY,0.75,True,False,0.0,719,0.4798,-0.0641,0.5,-1.7413,50K,floor_aware,0.2,0.2,0.018,8.85
228148de9120,London+NY,0.75,True,False,1.0,735,0.498,-0.0564,0.5,-1.6506,50K,floor_aware,0.2,0.2,0.054,7.96
ec35e451b385,London+NY,0.75,True,False,2.0,914,0.5744,0.0155,0.5,0.8078,50K,fixed_dollar,0.4,0.6,0.422,10.67
327d6c915501,London+NY,0.75,False,True,0.0,754,0.4947,-0.0444,0.5,-1.4234,50K,floor_aware,0.2,0.2,0.046,9.29
c7e655aa5ad5,London+NY,0.75,False,True,1.0,677,0.4505,-0.1125,0.5,-1.996,50K,floor_aware,0.2,0.2,0.006,9.01
4cf705169c80,London+NY,0.75,False,True,2.0,775,0.4981,-0.0864,0.5,-2.1214,50K,floor_aware,0.2,0.2,0.08,10.01
bde02c9024fb,London+NY,0.75,False,False,0.0,753,0.4781,-0.0618,0.5,-1.476,50K,floor_aware,0.2,0.2,0.026,9.84
f01f750bb3da,London+NY,0.75,False,False,1.0,720,0.4625,-0.0876,0.5,-1.8634,50K,floor_aware,0.2,0.2,0.014,9.59
7bcd2ba6072a,London+NY,0.75,False,False,2.0,685,0.4788,-0.1105,0.5,-2.3449,50K,floor_aware,0.2,0.2,0.052,10.73
ec6aec4294c5,London+NY,1.0,True,True,0.0,717,0.4407,-0.0893,0.5,-2.3859,50K,floor_aware,0.2,0.2,0.038,8.83
f35d33237579,London+NY,1.0,True,True,1.0,765,0.4641,-0.054,0.5,-1.9803,50K,floor_aware,0.4,0.2,0.126,8.32
6bb0da045e93,London+NY,1.0,True,True,2.0,843,0.5113,0.0296,0.5,-0.312,50K,fixed_dollar,0.2,0.4,0.378,10.98
5b6be11d678d,London+NY,1.0,True,False,0.0,721,0.4535,-0.0591,0.5,-1.8412,50K,floor_aware,0.2,0.2,0.054,9.45
042ab993249e,London+NY,1.0,True,False,1.0,733,0.4557,-0.0619,0.5,-1.8236,50K,floor_aware,0.2,0.2,0.086,8.72
33ade6d54adb,London+NY,1.0,True,False,2.0,934,0.5107,0.0269,0.5,-0.3155,50K,fixed_dollar,0.4,0.4,0.394,9.8
dadcb83093d2,London+NY,1.0,False,True,0.0,751,0.4647,-0.0444,0.5,-1.4521,50K,floor_aware,0.2,0.2,0.09,11.44
70fd4c695d8f,London+NY,1.0,False,True,1.0,706,0.4419,-0.0951,0.5,-2.0232,50K,floor_aware,0.2,0.2,0.034,8.72
