combo_id,rr_ratio,sl_atr_multiplier,wick_threshold,atr_period,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
39cc7f451349,1.0,0.5,0.1,7,158,0.443,-0.1239,0.5,-5.1906,50K,floor_aware,0.2,0.2,0.1,29.67
1e9f5170ee9f,1.0,0.5,0.1,10,269,0.4312,-0.1436,0.5,-5.5917,50K,floor_aware,0.2,0.2,0.059,18.2
90b61609f25a,1.0,0.5,0.1,14,384,0.4375,-0.1267,0.5,-5.1332,50K,floor_aware,0.2,0.2,0.069,15.09
fca32c58febb,1.0,0.5,0.15,7,219,0.4475,-0.1147,0.5,-5.1959,50K,floor_aware,0.2,0.2,0.094,16.91
20d5a7dc15f9,1.0,0.5,0.15,10,370,0.4595,-0.0869,0.5,-4.106,50K,fixed_dollar,0.2,0.2,0.128,18.24
6fbb243b5db8,1.0,0.5,0.15,14,517,0.4468,-0.1086,0.5,-4.8018,50K,floor_aware,0.2,0.2,0.086,20.78
dff458970f11,1.0,0.5,0.2,7,267,0.4345,-0.139,0.5,-5.3175,50K,fixed_dollar,0.2,0.2,0.078,18.26
6bc65a004cdb,1.0,0.5,0.2,10,441,0.4444,-0.116,0.5,-4.5635,50K,pct_balance,0.2,0.2,0.095,28.1
8c116b931ba7,1.0,0.5,0.2,14,604,0.447,-0.1079,0.5,-4.7339,50K,floor_aware,0.2,0.2,0.091,19.48
f2968970eb6c,1.0,0.5,0.25,7,291,0.433,-0.1413,0.5,-5.6645,50K,floor_aware,0.2,0.2,0.075,21.61
4cab9db5d95f,1.0,0.5,0.25,10,479,0.4489,-0.1068,0.5,-4.7022,50K,floor_aware,0.2,0.2,0.092,21.04
7b3a1ea3aa22,1.0,0.5,0.25,14,649,0.4468,-0.1081,0.5,-4.4399,50K,fixed_dollar,0.2,0.4,0.096,21.47
aeaa7964592b,1.0,0.75,0.1,7,157,0.5287,0.0518,0.5,3.1105,50K,fixed_dollar,0.6,0.6,0.372,23.99
1b34b1c08af0,1.0,0.75,0.1,10,269,0.5056,0.0077,0.5,-0.692,50K,fixed_dollar,0.2,0.6,0.314,19.05
9ef78db36475,1.0,0.75,0.1,14,385,0.5065,0.0113,0.5,-1.4724,50K,pct_balance,0.2,0.6,0.281,16.6
a91bb08088cd,1.0,0.75,0.15,7,219,0.5342,0.0614,0.5,2.2084,50K,fixed_dollar,0.4,0.6,0.387,22.21
faca8e1f6eed,1.0,0.75,0.15,10,369,0.5447,0.0851,0.5,5.2907,50K,fixed_dollar,0.4,0.6,0.423,18.21
937c0f1a775b,1.0,0.75,0.15,14,525,0.5162,0.0314,0.5,-0.4681,50K,pct_balance,0.2,0.6,0.33,17.01
4503ca5b1aec,1.0,0.75,0.2,7,267,0.5318,0.0578,0.5,1.706,50K,fixed_dollar,0.2,0.6,0.426,18.79
58a3e2323d34,1.0,0.75,0.2,10,442,0.5339,0.0642,0.5,2.6883,50K,fixed_dollar,0.4,0.6,0.403,15.13
b3d7e44e1ebc,1.0,0.75,0.2,14,629,0.5119,0.023,0.5,-0.796,50K,fixed_dollar,0.2,0.6,0.314,18.9
0c60b853eddc,1.0,0.75,0.25,7,291,0.5155,0.0256,0.5,-0.7701,50K,fixed_dollar,0.2,0.6,0.332,16.79
224489597a0f,1.0,0.75,0.25,10,484,0.5331,0.0628,0.5,1.955,50K,fixed_dollar,0.2,0.6,0.457,16.73
d46e885b7a3d,1.0,0.75,0.25,14,690,0.5174,0.034,0.5,-0.0855,50K,fixed_dollar,0.2,0.6,0.359,20.66
c49a34ed5186,1.0,1.0,0.1,7,157,0.5414,0.0872,0.5,9.6398,50K,fixed_dollar,0.4,0.6,0.453,20.03
2e99f1929b35,1.0,1.0,0.1,10,267,0.5243,0.0488,0.5,2.5679,50K,fixed_dollar,0.6,0.6,0.353,20.38
08f48f498272,1.0,1.0,0.1,14,385,0.5143,0.0286,0.5,0.1975,50K,fixed_dollar,0.2,0.6,0.338,15.85
1fc47eaeb681,1.0,1.0,0.15,7,219,0.5525,0.1078,0.5,13.3506,50K,fixed_dollar,0.4,0.6,0.502,17.53
5c43da9b079c,1.0,1.0,0.15,10,368,0.5571,0.114,0.5,10.317,150K,pct_balance,0.4,0.6,0.402,13.84
977e6688bd57,1.0,1.0,0.15,14,524,0.5344,0.0702,0.5,2.7999,50K,pct_balance,0.4,0.6,0.398,9.17
6fc6e521e3b3,1.0,1.0,0.2,7,265,0.5472,0.0966,0.5,7.2186,50K,pct_balance,0.4,0.6,0.428,10.53
33db07b27368,1.0,1.0,0.2,10,441,0.551,0.1022,0.5,8.4862,50K,fixed_dollar,0.4,0.6,0.452,12.77
50969e85ddf3,1.0,1.0,0.2,14,629,0.5358,0.073,0.5,3.3108,50K,fixed_dollar,0.4,0.6,0.41,9.85
ff8b715521f8,1.0,1.0,0.25,7,289,0.5225,0.0471,0.5,2.5262,50K,pct_balance,0.4,0.6,0.364,9.39
7e45fb940f0d,1.0,1.0,0.25,10,482,0.5477,0.0963,0.5,6.796,50K,fixed_dollar,0.6,0.6,0.386,12.96
8bdd87d4697f,1.0,1.0,0.25,14,690,0.5319,0.0656,0.5,2.6203,50K,fixed_dollar,0.4,0.6,0.392,12.96
f7f742997dd2,1.0,1.25,0.1,7,155,0.5548,0.1258,0.5,15.0048,50K,fixed_dollar,0.4,0.6,0.517,9.97
feaea7f48b96,1.0,1.25,0.1,10,266,0.5564,0.1194,0.5,9.7336,50K,fixed_dollar,0.6,0.6,0.409,11.28
d0bda29b22c1,1.0,1.25,0.1,14,378,0.5265,0.057,0.5,2.4873,50K,pct_balance,0.4,0.6,0.374,12.57
b89b5040bf99,1.0,1.25,0.15,7,217,0.553,0.1214,0.5,11.8618,50K,fixed_dollar,0.4,0.6,0.465,10.6
d85d80011aeb,1.0,1.25,0.15,10,366,0.5738,0.1547,0.5,16.2967,150K,pct_balance,0.4,0.6,0.435,11.93
71f70c24c74f,1.0,1.25,0.15,14,516,0.5465,0.0994,0.5,6.5849,50K,fixed_dollar,0.4,0.6,0.424,14.93
443e1a01aab9,1.0,1.25,0.2,7,265,0.5358,0.0881,0.5,6.5585,50K,pct_balance,0.4,0.6,0.405,10.82
ae39134b117b,1.0,1.25,0.2,10,438,0.5525,0.114,0.5,9.4886,50K,pct_balance,0.4,0.6,0.457,11.59
d467e4c06e81,1.0,1.25,0.2,14,619,0.5396,0.0866,0.5,6.2937,50K,fixed_dollar,0.4,0.6,0.413,14.88
073e5115680f,1.0,1.25,0.25,7,284,0.5,0.0153,0.5,-0.3771,50K,fixed_dollar,0.2,0.6,0.321,10.98
a732eaa4de51,1.0,1.25,0.25,10,477,0.5409,0.089,0.5,5.3922,50K,pct_balance,0.4,0.6,0.4,14.1
364f6d2b8f23,1.0,1.25,0.25,14,677,0.5377,0.0814,0.5,5.0392,50K,fixed_dollar,0.4,0.6,0.409,16.96
dec2b4c89f56,1.0,1.5,0.1,7,153,0.5556,0.1244,0.5,12.2722,150K,pct_balance,0.4,0.6,0.412,17.87
9a1d5dfbe81e,1.0,1.5,0.1,10,261,0.5517,0.1091,0.5,10.1127,50K,fixed_dollar,0.4,0.6,0.456,12.45
e2cd20096cf0,1.0,1.5,0.1,14,370,0.527,0.0568,0.5,2.3883,50K,fixed_dollar,0.2,0.6,0.409,15.17
75866b794d8e,1.0,1.5,0.15,7,213,0.5493,0.1092,0.5,9.678,50K,fixed_dollar,0.4,0.6,0.442,15.11
202565bdbbb0,1.0,1.5,0.15,10,363,0.5647,0.1335,0.5,14.9206,150K,pct_balance,0.4,0.6,0.417,11.93
f9a1328ed902,1.0,1.5,0.15,14,503,0.5427,0.091,0.5,6.3009,50K,pct_balance,0.4,0.6,0.423,14.67
8cdada33d0f6,1.0,1.5,0.2,7,260,0.5308,0.0786,0.5,5.3964,50K,fixed_dollar,0.4,0.6,0.404,15.83
a61c44886240,1.0,1.5,0.2,10,432,0.5417,0.0922,0.5,6.6426,50K,pct_balance,0.6,0.6,0.363,15.68
d7bd124c505b,1.0,1.5,0.2,14,605,0.5355,0.0796,0.5,5.2743,50K,pct_balance,0.4,0.6,0.418,14.6
17480204f9b8,1.0,1.5,0.25,7,277,0.5018,0.0175,0.5,-0.2466,50K,fixed_dollar,0.2,0.6,0.314,15.6
02a2641a25a4,1.0,1.5,0.25,10,465,0.5204,0.0475,0.5,1.8919,50K,pct_balance,0.4,0.6,0.359,15.27
642152d8bed4,1.0,1.5,0.25,14,657,0.5266,0.0601,0.5,2.1901,50K,pct_balance,0.4,0.6,0.363,15.45
294b3b7ee333,1.25,0.5,0.1,7,158,0.4177,-0.0714,0.5,-4.0974,50K,pct_balance,0.2,0.6,0.163,14.54
a8686360c5f1,1.25,0.5,0.1,10,269,0.4164,-0.0715,0.5,-4.4439,50K,fixed_dollar,0.2,0.6,0.167,11.21
82d2ae6d3fb9,1.25,0.5,0.1,14,384,0.4167,-0.0645,0.5,-4.1359,50K,pct_balance,0.2,0.6,0.154,18.37
f2cbb431ed9b,1.25,0.5,0.15,7,219,0.4201,-0.0671,0.5,-4.3394,50K,fixed_dollar,0.2,0.6,0.163,13.79
9723cdfc36ac,1.25,0.5,0.15,10,370,0.4378,-0.0226,0.5,-2.77,50K,fixed_dollar,0.2,0.6,0.248,13.54
d0a1d1400732,1.25,0.5,0.15,14,525,0.421,-0.0545,0.5,-4.2474,50K,fixed_dollar,0.2,0.2,0.162,18.94
2a59e7a94d36,1.25,0.5,0.2,7,267,0.412,-0.0832,0.5,-4.4926,50K,fixed_dollar,0.2,0.6,0.157,15.91
8fb8043368fe,1.25,0.5,0.2,10,443,0.4221,-0.057,0.5,-4.0101,50K,fixed_dollar,0.2,0.6,0.196,15.35
4ac90a7fbd83,1.25,0.5,0.2,14,619,0.4136,-0.0706,0.5,-4.3148,50K,pct_balance,0.2,0.4,0.153,11.96
4c4e1ecd2490,1.25,0.5,0.25,7,291,0.4021,-0.1044,0.5,-5.2048,50K,pct_balance,0.2,0.6,0.141,11.88
faf858954069,1.25,0.5,0.25,10,485,0.4247,-0.0507,0.5,-3.7989,50K,fixed_dollar,0.2,0.6,0.195,16.34
31bebe699339,1.25,0.5,0.25,14,669,0.4111,-0.0763,0.5,-4.7079,50K,floor_aware,0.2,0.2,0.131,9.42
99bbeb2cf20e,1.25,0.75,0.1,7,157,0.465,0.038,0.5,2.5998,50K,fixed_dollar,0.6,0.6,0.347,8.92
0afb975a819c,1.25,0.75,0.1,10,269,0.461,0.0326,0.5,1.108,50K,pct_balance,0.6,0.6,0.328,8.09
2ac825482bbe,1.25,0.75,0.1,14,385,0.439,-0.0137,0.5,-2.6463,50K,pct_balance,0.2,0.6,0.245,8.58
a16fb8871831,1.25,0.75,0.15,7,219,0.484,0.0784,0.5,5.0855,50K,fixed_dollar,0.4,0.6,0.397,10.24
42fbb4525d05,1.25,0.75,0.15,10,370,0.5054,0.131,0.5,9.3792,150K,fixed_dollar,0.4,0.4,0.389,8.11
09e3f7de47f7,1.25,0.75,0.15,14,525,0.4552,0.0229,0.5,-1.5009,50K,pct_balance,0.2,0.6,0.295,14.05
f3b55a7f63c2,1.25,0.75,0.2,7,267,0.4794,0.0697,0.5,2.655,50K,fixed_dollar,0.2,0.6,0.438,8.86
710c8ee61590,1.25,0.75,0.2,10,442,0.491,0.0998,0.5,5.7954,50K,fixed_dollar,0.4,0.6,0.417,9.64
eaaf146414e5,1.25,0.75,0.2,14,629,0.4515,0.0145,0.5,-1.7891,50K,fixed_dollar,0.2,0.6,0.285,13.71
9c8157e46abb,1.25,0.75,0.25,7,291,0.457,0.0203,0.5,-0.5549,50K,pct_balance,0.2,0.6,0.317,12.6
5948b4268a91,1.25,0.75,0.25,10,484,0.4855,0.0881,0.5,4.5013,50K,fixed_dollar,0.2,0.6,0.495,15.43
ad68690697c4,1.25,0.75,0.25,14,690,0.4493,0.0099,0.5,-1.4008,50K,fixed_dollar,0.2,0.6,0.327,12.47
a8a3aa7b91b2,1.25,1.0,0.1,7,157,0.4968,0.1212,0.5,11.2229,50K,fixed_dollar,0.6,0.6,0.405,12.69
fcaf794319d7,1.25,1.0,0.1,10,268,0.4925,0.107,0.5,6.5558,50K,pct_balance,0.4,0.6,0.377,17.86
5f283c6f5a99,1.25,1.0,0.1,14,383,0.4648,0.0445,0.5,1.1074,50K,fixed_dollar,0.2,0.6,0.373,13.53
05e1a1aef9c7,1.25,1.0,0.15,7,219,0.4977,0.1208,0.5,9.1118,100K,fixed_dollar,0.4,0.6,0.372,20.18
8f3841353a6f,1.25,1.0,0.15,10,367,0.515,0.1569,0.5,13.0571,150K,pct_balance,0.4,0.4,0.407,13.99
52a897118dd4,1.25,1.0,0.15,14,519,0.4855,0.0924,0.5,3.5339,50K,pct_balance,0.2,0.6,0.454,9.77
94de89cca0a2,1.25,1.0,0.2,7,265,0.4906,0.1051,0.5,5.343,50K,pct_balance,0.4,0.6,0.39,7.96
f38f168744c9,1.25,1.0,0.2,10,440,0.4977,0.1189,0.5,8.4383,50K,fixed_dollar,0.4,0.6,0.428,9.5
5ba821b2bd3d,1.25,1.0,0.2,14,624,0.4856,0.0929,0.5,3.9724,50K,pct_balance,0.4,0.6,0.386,8.01
d2a7037b0b03,1.25,1.0,0.25,7,289,0.4567,0.0289,0.5,-0.1287,50K,fixed_dollar,0.2,0.6,0.36,8.25
cf737938b438,1.25,1.0,0.25,10,479,0.4906,0.103,0.5,5.6597,50K,pct_balance,0.4,0.6,0.388,8.01
83b34fc2dc40,1.25,1.0,0.25,14,683,0.4817,0.084,0.5,4.0745,50K,pct_balance,0.4,0.6,0.384,9.06
5b390afa5428,1.25,1.25,0.1,7,155,0.5097,0.1466,0.5,12.5552,150K,fixed_dollar,0.4,0.6,0.405,7.94
027e6a5e3b3c,1.25,1.25,0.1,10,267,0.4944,0.112,0.5,6.1497,50K,fixed_dollar,0.2,0.6,0.476,10.44
4a3edc1f4b23,1.25,1.25,0.1,14,379,0.4802,0.0781,0.5,2.9244,50K,fixed_dollar,0.2,0.6,0.424,8.39
05e95f3dd700,1.25,1.25,0.15,7,217,0.4977,0.1213,0.5,6.5564,50K,fixed_dollar,0.2,0.6,0.536,7.37
55fd8a8e66a7,1.25,1.25,0.15,10,365,0.5068,0.1419,0.5,9.45,50K,pct_balance,0.4,0.6,0.433,10.11
e620592da9b8,1.25,1.25,0.15,14,517,0.4913,0.1066,0.5,4.6342,50K,pct_balance,0.2,0.6,0.487,9.93
6b9ad9ce897c,1.25,1.25,0.2,7,265,0.4868,0.0969,0.5,4.6267,50K,pct_balance,0.2,0.6,0.482,9.71
5862a36444a1,1.25,1.25,0.2,10,437,0.4897,0.1033,0.5,4.5198,50K,fixed_dollar,0.2,0.6,0.494,8.7
e4d5af26f610,1.25,1.25,0.2,14,618,0.4854,0.0947,0.5,3.5288,50K,fixed_dollar,0.2,0.6,0.459,7.79
9f1378bfe9f1,1.25,1.25,0.25,7,286,0.4545,0.0243,0.5,0.4265,50K,fixed_dollar,0.2,0.6,0.359,7.8
c9f53969851a,1.25,1.25,0.25,10,474,0.4726,0.0631,0.5,1.1045,50K,fixed_dollar,0.2,0.6,0.371,10.83
95f7ca400522,1.25,1.25,0.25,14,676,0.4793,0.0798,0.5,3.1467,50K,pct_balance,0.2,0.6,0.437,7.74
85ca2cffc86b,1.25,1.5,0.1,7,153,0.4771,0.0852,0.5,3.5071,50K,fixed_dollar,0.4,0.6,0.379,10.03
464b0bdc2fcc,1.25,1.5,0.1,10,263,0.4905,0.1052,0.5,5.6007,50K,pct_balance,0.4,0.6,0.371,7.91
c2fc113b02fb,1.25,1.5,0.1,14,369,0.4634,0.0402,0.5,0.8396,50K,fixed_dollar,0.2,0.6,0.356,12.11
592b7e6482ff,1.25,1.5,0.15,7,213,0.4883,0.1003,0.5,5.3478,50K,fixed_dollar,0.2,0.6,0.511,9.1
690ce84ba94d,1.25,1.5,0.15,10,360,0.5083,0.1416,0.5,11.5556,150K,pct_balance,0.4,0.4,0.405,8.96
eef78c17fdb7,1.25,1.5,0.15,14,501,0.483,0.087,0.5,4.2397,50K,pct_balance,0.4,0.6,0.373,13.85
ce8a8e49f6c2,1.25,1.5,0.2,7,260,0.4692,0.0617,0.5,2.1414,50K,fixed_dollar,0.2,0.6,0.401,11.49
b75d9c6f4a0e,1.25,1.5,0.2,10,430,0.4814,0.0842,0.5,3.8903,50K,fixed_dollar,0.2,0.6,0.443,9.99
b5dbe729b809,1.25,1.5,0.2,14,600,0.4783,0.0785,0.5,2.9867,50K,pct_balance,0.2,0.6,0.437,12.59
332ca41401dc,1.25,1.5,0.25,7,275,0.4473,0.0089,0.5,-0.9542,50K,fixed_dollar,0.2,0.6,0.301,9.19
0c3abb5ee090,1.25,1.5,0.25,10,461,0.462,0.0384,0.5,0.4925,50K,pct_balance,0.2,0.6,0.356,7.65
810be5dc9946,1.25,1.5,0.25,14,651,0.47,0.0576,0.5,1.329,50K,fixed_dollar,0.2,0.6,0.385,7.37
7eb0908c9578,1.5,0.5,0.1,7,158,0.3924,-0.035,0.5,-3.7948,50K,pct_balance,0.2,0.6,0.211,8.3
d37a72ca1d09,1.5,0.5,0.1,10,269,0.3829,-0.0532,0.5,-4.1456,50K,fixed_dollar,0.2,0.6,0.203,9.81
b9efbe4c8c49,1.5,0.5,0.1,14,383,0.3864,-0.0384,0.5,-4.1836,50K,floor_aware,0.2,0.2,0.196,8.03
f8ac19dfe667,1.5,0.5,0.15,7,220,0.4,-0.0162,0.5,-3.1442,50K,fixed_dollar,0.2,0.6,0.237,9.29
309f89abb7a1,1.5,0.5,0.15,10,370,0.4108,0.0174,0.5,-1.9871,50K,fixed_dollar,0.2,0.6,0.308,7.07
e6c64153e8f2,1.5,0.5,0.15,14,524,0.3874,-0.0355,0.5,-4.2913,50K,fixed_dollar,0.2,0.2,0.187,11.39
7c08f6310d32,1.5,0.5,0.2,7,267,0.3933,-0.0302,0.5,-3.3554,50K,fixed_dollar,0.2,0.6,0.241,10.16
4a2c46974d0a,1.5,0.5,0.2,10,443,0.3973,-0.0149,0.5,-3.1638,50K,fixed_dollar,0.2,0.6,0.258,8.36
a49d7c4df540,1.5,0.5,0.2,14,624,0.383,-0.0458,0.5,-4.3859,50K,pct_balance,0.2,0.2,0.192,7.1
96560fe4930e,1.5,0.5,0.25,7,291,0.3814,-0.0589,0.5,-4.3675,50K,pct_balance,0.2,0.6,0.202,7.15
2cdc4f06e969,1.5,0.5,0.25,10,485,0.3959,-0.0179,0.5,-3.0189,50K,fixed_dollar,0.2,0.6,0.271,10.91
b41cc4be2e9a,1.5,0.5,0.25,14,674,0.3813,-0.0501,0.5,-4.1421,50K,fixed_dollar,0.2,0.4,0.195,9.64
b92836223239,1.5,0.75,0.1,7,157,0.4459,0.105,0.5,8.2921,50K,fixed_dollar,0.4,0.6,0.393,11.84
7d1aed267997,1.5,0.75,0.1,10,269,0.4387,0.0921,0.5,5.6605,50K,fixed_dollar,0.2,0.6,0.469,10.83
5a367c072b42,1.5,0.75,0.1,14,384,0.4036,0.0063,0.5,-2.2316,50K,pct_balance,0.2,0.4,0.264,9.8
609f965acf75,1.5,0.75,0.15,7,219,0.4521,0.1171,0.5,6.6739,50K,fixed_dollar,0.4,0.6,0.389,11.07
4acceb00f851,1.5,0.75,0.15,10,370,0.4703,0.1686,0.5,12.526,150K,fixed_dollar,0.2,0.4,0.499,11.84
9551388f08ea,1.5,0.75,0.15,14,522,0.4157,0.0366,0.5,-1.5519,50K,pct_balance,0.2,0.4,0.316,14.0
a8d9dee3b26c,1.5,0.75,0.2,7,267,0.4419,0.0941,0.5,4.6338,50K,fixed_dollar,0.2,0.6,0.466,15.71
67092f9d5c32,1.5,0.75,0.2,10,442,0.4502,0.1195,0.5,6.5883,50K,fixed_dollar,0.4,0.6,0.409,15.35
cbcb15797436,1.5,0.75,0.2,14,626,0.4121,0.0278,0.5,-1.1881,50K,pct_balance,0.2,0.6,0.321,19.62
43e136a5b6f1,1.5,0.75,0.25,7,289,0.4152,0.0282,0.5,-0.8593,50K,fixed_dollar,0.2,0.6,0.326,12.62
cb3d0048fc3e,1.5,0.75,0.25,10,484,0.4421,0.1001,0.5,4.9311,50K,fixed_dollar,0.2,0.6,0.476,13.02
85c3fb9a9626,1.5,0.75,0.25,14,688,0.4128,0.03,0.5,-1.0484,50K,fixed_dollar,0.2,0.4,0.331,20.04
92207571e7c4,1.5,1.0,0.1,7,157,0.4586,0.1398,0.5,8.8107,50K,pct_balance,0.4,0.6,0.415,17.92
dadf1eb52142,1.5,1.0,0.1,10,268,0.444,0.1026,0.5,4.4355,50K,fixed_dollar,0.2,0.6,0.436,13.97
8c5445be5cd2,1.5,1.0,0.1,14,383,0.4386,0.0908,0.5,4.1981,50K,fixed_dollar,0.2,0.6,0.438,8.75
04d09bccb253,1.5,1.0,0.15,7,219,0.4521,0.1228,0.5,6.9358,50K,fixed_dollar,0.4,0.6,0.388,14.74
4b69b69f2959,1.5,1.0,0.15,10,368,0.4647,0.1547,0.5,8.9753,50K,fixed_dollar,0.2,0.6,0.538,10.65
4d0b9a0cceb1,1.5,1.0,0.15,14,520,0.4538,0.1305,0.5,6.4401,50K,pct_balance,0.2,0.4,0.503,9.94
c3210c7ac585,1.5,1.0,0.2,7,267,0.4494,0.1181,0.5,5.8539,50K,pct_balance,0.2,0.6,0.464,10.96
d90b787e9a39,1.5,1.0,0.2,10,441,0.449,0.1163,0.5,5.7842,50K,fixed_dollar,0.2,0.6,0.487,10.5
108e92ff4bcc,1.5,1.0,0.2,14,622,0.4486,0.1178,0.5,5.2475,50K,fixed_dollar,0.2,0.6,0.47,9.38
e941875d2dad,1.5,1.0,0.25,7,289,0.4187,0.0417,0.5,0.123,50K,fixed_dollar,0.2,0.6,0.36,11.0
b0461f0a4228,1.5,1.0,0.25,10,478,0.4331,0.0766,0.5,2.3915,50K,fixed_dollar,0.2,0.6,0.395,10.62
05b0de374316,1.5,1.0,0.25,14,682,0.4428,0.1034,0.5,3.7484,50K,fixed_dollar,0.2,0.4,0.436,8.26
472a032959cb,1.5,1.25,0.1,7,155,0.4581,0.1358,0.5,9.2096,50K,fixed_dollar,0.4,0.6,0.415,8.71
