combo_id,breakeven_r,atr_vol_filter,require_daily_momentum,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
86d8f31c4d28,0.0,0.0,False,366,0.5738,0.1547,0.5,14.8399,150K,fixed_dollar,0.6,0.6,0.382,127.1
58314948c051,0.0,0.0,True,163,0.5583,0.1184,0.5,10.1506,50K,fixed_dollar,0.4,0.6,0.459,124.95
a6de36a32c2f,0.0,0.85,False,366,0.5738,0.1547,0.5,14.8399,150K,fixed_dollar,0.6,0.6,0.382,127.23
2c6360abc8a1,0.0,0.85,True,163,0.5583,0.1184,0.5,10.1506,50K,fixed_dollar,0.4,0.6,0.459,127.0
f41ddc532fcd,0.0,1.0,False,345,0.5739,0.1527,0.5,14.2844,150K,fixed_dollar,0.2,0.6,0.6,128.27
90f84bae83bd,0.0,1.0,True,154,0.5519,0.101,0.5,8.456,50K,fixed_dollar,0.4,0.6,0.447,128.44
5441b8fa4d15,0.0,1.15,False,237,0.5823,0.1629,0.5,18.0422,150K,pct_balance,0.4,0.6,0.459,128.48
3b7bd434d083,0.0,1.15,True,108,0.6019,0.1963,0.5,22.1836,150K,pct_balance,0.2,0.4,0.677,128.54
b75d1960747e,0.3,0.0,False,366,0.5738,0.1547,0.5,14.8399,150K,fixed_dollar,0.6,0.6,0.382,129.25
b9c73b8f4edf,0.3,0.0,True,163,0.5583,0.1184,0.5,10.1506,50K,fixed_dollar,0.4,0.6,0.459,128.75
c0c279270d24,0.3,0.85,False,366,0.5738,0.1547,0.5,14.8399,150K,fixed_dollar,0.6,0.6,0.382,128.96
7eef87e87f82,0.3,0.85,True,163,0.5583,0.1184,0.5,10.1506,50K,fixed_dollar,0.4,0.6,0.459,130.01
bdf1731bd59c,0.3,1.0,False,345,0.5739,0.1527,0.5,14.2844,150K,fixed_dollar,0.2,0.6,0.6,128.99
41b5b3d41b72,0.3,1.0,True,154,0.5519,0.101,0.5,8.456,50K,fixed_dollar,0.4,0.6,0.447,128.09
2668eb042ac8,0.3,1.15,False,237,0.5823,0.1629,0.5,18.0422,150K,pct_balance,0.4,0.6,0.459,128.89
ed5273706124,0.3,1.15,True,108,0.6019,0.1963,0.5,22.1836,150K,pct_balance,0.2,0.4,0.677,129.59
69b086d9da55,0.5,0.0,False,366,0.5738,0.1547,0.5,14.8399,150K,fixed_dollar,0.6,0.6,0.382,129.08
b98b44cbb900,0.5,0.0,True,163,0.5583,0.1184,0.5,10.1506,50K,fixed_dollar,0.4,0.6,0.459,129.43
8c6b72d0853f,0.5,0.85,False,366,0.5738,0.1547,0.5,14.8399,150K,fixed_dollar,0.6,0.6,0.382,128.16
75a5250329db,0.5,0.85,True,163,0.5583,0.1184,0.5,10.1506,50K,fixed_dollar,0.4,0.6,0.459,129.43
c196b46a2e57,0.5,1.0,False,345,0.5739,0.1527,0.5,14.2844,150K,fixed_dollar,0.2,0.6,0.6,128.09
ce0df1f6675a,0.5,1.0,True,154,0.5519,0.101,0.5,8.456,50K,fixed_dollar,0.4,0.6,0.447,129.32
da6683549a93,0.5,1.15,False,237,0.5823,0.1629,0.5,18.0422,150K,pct_balance,0.4,0.6,0.459,127.12
6f22e22ee3bf,0.5,1.15,True,108,0.6019,0.1963,0.5,22.1836,150K,pct_balance,0.2,0.4,0.677,126.69
7d45ec3006bd,0.75,0.0,False,366,0.5738,0.1547,0.5,14.8399,150K,fixed_dollar,0.6,0.6,0.382,132.23
081adbca2e85,0.75,0.0,True,163,0.5583,0.1184,0.5,10.1506,50K,fixed_dollar,0.4,0.6,0.459,131.22
6e65591d8e61,0.75,0.85,False,366,0.5738,0.1547,0.5,14.8399,150K,fixed_dollar,0.6,0.6,0.382,121.08
065ad0a099e7,0.75,0.85,True,163,0.5583,0.1184,0.5,10.3904,50K,fixed_dollar,0.4,0.6,0.463,16.19
970db5e3485d,0.75,1.0,False,345,0.5739,0.1527,0.5,14.6023,150K,pct_balance,0.6,0.6,0.376,13.98
045ff2aff7a2,0.75,1.0,True,154,0.5519,0.101,0.5,8.6284,50K,pct_balance,0.4,0.6,0.438,14.28
f87816a5403a,0.75,1.15,False,237,0.5823,0.1629,0.5,19.9337,150K,pct_balance,0.4,0.6,0.456,14.39
9c50655f4e4a,0.75,1.15,True,108,0.6019,0.1963,0.5,23.8659,150K,fixed_dollar,0.2,0.6,0.7,14.07
5c24bc42c732,1.0,0.0,False,366,0.5738,0.1547,0.5,14.8371,150K,fixed_dollar,0.4,0.6,0.441,14.5
b645b7e50ee7,1.0,0.0,True,163,0.5583,0.1184,0.5,10.3904,50K,fixed_dollar,0.4,0.6,0.463,14.03
eecc6e2f0b8a,1.0,0.85,False,366,0.5738,0.1547,0.5,14.8371,150K,fixed_dollar,0.4,0.6,0.441,14.49
1e9ca241bea5,1.0,0.85,True,163,0.5583,0.1184,0.5,10.3904,50K,fixed_dollar,0.4,0.6,0.463,14.46
67cf06adc73a,1.0,1.0,False,345,0.5739,0.1527,0.5,14.6023,150K,pct_balance,0.6,0.6,0.376,14.29
7444ca9f2a7a,1.0,1.0,True,154,0.5519,0.101,0.5,8.6284,50K,pct_balance,0.4,0.6,0.438,14.38
4148a8fb3ee6,1.0,1.15,False,237,0.5823,0.1629,0.5,19.9337,150K,pct_balance,0.4,0.6,0.456,14.3
6b749e2018ef,1.0,1.15,True,108,0.6019,0.1963,0.5,23.8659,150K,fixed_dollar,0.2,0.6,0.7,14.35
