combo_id,rr_ratio,sl_atr_multiplier,breakeven_r,atr_vol_filter,require_daily_momentum,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
a00ebd240c36,0.75,0.75,0.0,0.0,False,369,0.5908,0.0318,0.5,0.8207,50K,pct_balance,0.4,0.6,0.379,126.47
c39d40efd5eb,0.75,0.75,0.0,0.0,True,165,0.5455,-0.048,0.5,-3.0556,50K,fixed_dollar,0.2,0.6,0.142,125.05
058934ca3a07,0.75,0.75,0.0,1.0,False,347,0.5879,0.0275,0.5,0.7042,50K,pct_balance,0.6,0.6,0.365,128.63
4253021401ac,0.75,0.75,0.0,1.0,True,155,0.5419,-0.0543,0.5,-3.2125,50K,fixed_dollar,0.2,0.6,0.137,128.38
2141264c5954,0.75,0.75,0.5,0.0,False,369,0.5908,0.0318,0.5,0.8207,50K,pct_balance,0.4,0.6,0.379,128.84
e734e1391f97,0.75,0.75,0.5,0.0,True,165,0.5455,-0.048,0.5,-3.0556,50K,fixed_dollar,0.2,0.6,0.142,127.4
94441aac82cb,0.75,0.75,0.5,1.0,False,347,0.5879,0.0275,0.5,0.7042,50K,pct_balance,0.6,0.6,0.365,129.21
a33de2aac9d9,0.75,0.75,0.5,1.0,True,155,0.5419,-0.0543,0.5,-3.2125,50K,fixed_dollar,0.2,0.6,0.137,128.32
6eb7eb42e27a,0.75,0.75,1.0,0.0,False,369,0.5908,0.0318,0.5,0.8207,50K,pct_balance,0.4,0.6,0.379,129.91
f9c4b300a792,0.75,0.75,1.0,0.0,True,165,0.5455,-0.048,0.5,-3.0556,50K,fixed_dollar,0.2,0.6,0.142,129.19
94868e0b90d4,0.75,0.75,1.0,1.0,False,347,0.5879,0.0275,0.5,0.7042,50K,pct_balance,0.6,0.6,0.365,130.28
c80d4c57d257,0.75,0.75,1.0,1.0,True,155,0.5419,-0.0543,0.5,-3.2125,50K,fixed_dollar,0.2,0.6,0.137,129.82
76245b74de34,0.75,1.0,0.0,0.0,False,369,0.6287,0.1001,0.5,8.3377,50K,fixed_dollar,0.4,0.6,0.496,128.92
0c4725a96f99,0.75,1.0,0.0,0.0,True,165,0.6,0.0466,0.5,1.3018,50K,pct_balance,0.4,0.6,0.378,128.12
bf5c34856796,0.75,1.0,0.0,1.0,False,347,0.6311,0.1023,0.5,9.6265,50K,fixed_dollar,0.4,0.6,0.519,129.13
cdacbfd130c0,0.75,1.0,0.0,1.0,True,155,0.6,0.0417,0.5,0.7503,50K,fixed_dollar,0.4,0.6,0.364,130.6
9a02ef5440f5,0.75,1.0,0.5,0.0,False,369,0.6287,0.1001,0.5,8.3377,50K,fixed_dollar,0.4,0.6,0.496,130.74
a9fad2ce3b82,0.75,1.0,0.5,0.0,True,165,0.6,0.0466,0.5,1.3018,50K,pct_balance,0.4,0.6,0.378,128.89
bb20b194e5f3,0.75,1.0,0.5,1.0,False,347,0.6311,0.1023,0.5,9.6265,50K,fixed_dollar,0.4,0.6,0.519,128.8
9c6265c8fb0b,0.75,1.0,0.5,1.0,True,155,0.6,0.0417,0.5,0.7503,50K,fixed_dollar,0.4,0.6,0.364,129.99
ec0ce7c9fa7d,0.75,1.0,1.0,0.0,False,369,0.6287,0.1001,0.5,8.3377,50K,fixed_dollar,0.4,0.6,0.496,128.64
a5743e4a2791,0.75,1.0,1.0,0.0,True,165,0.6,0.0466,0.5,1.3018,50K,pct_balance,0.4,0.6,0.378,128.58
aa6d31cacc17,0.75,1.0,1.0,1.0,False,347,0.6311,0.1023,0.5,9.6265,50K,fixed_dollar,0.4,0.6,0.519,128.41
ac2d3044f897,0.75,1.0,1.0,1.0,True,155,0.6,0.0417,0.5,0.7503,50K,fixed_dollar,0.4,0.6,0.364,126.44
c9b289df5d7b,0.75,1.25,0.0,0.0,False,366,0.6339,0.1147,0.5,12.4101,150K,fixed_dollar,0.6,0.6,0.401,136.01
c0ddf9b103df,0.75,1.25,0.0,0.0,True,164,0.6098,0.0674,0.5,5.4926,50K,fixed_dollar,0.6,0.6,0.396,127.05
64064ec10785,0.75,1.25,0.0,1.0,False,345,0.6348,0.1138,0.5,14.6222,150K,fixed_dollar,0.6,0.6,0.432,120.84
0f93a99d8001,0.75,1.25,0.0,1.0,True,154,0.6039,0.0522,0.5,3.2911,50K,fixed_dollar,0.6,0.6,0.378,15.62
f394338c90ed,0.75,1.25,0.5,0.0,False,366,0.6339,0.1147,0.5,14.456,150K,pct_balance,0.6,0.6,0.402,13.93
e69b0edcc696,0.75,1.25,0.5,0.0,True,164,0.6098,0.0674,0.5,5.2914,50K,fixed_dollar,0.6,0.6,0.43,14.14
d302d7227998,0.75,1.25,0.5,1.0,False,345,0.6348,0.1138,0.5,14.3626,150K,fixed_dollar,0.4,0.6,0.452,14.14
5a5df6c9f9e1,0.75,1.25,0.5,1.0,True,154,0.6039,0.0522,0.5,3.2911,50K,fixed_dollar,0.6,0.6,0.378,14.0
8020c3b6167f,0.75,1.25,1.0,0.0,False,366,0.6339,0.1147,0.5,14.456,150K,pct_balance,0.6,0.6,0.402,14.31
22ae6373afbe,0.75,1.25,1.0,0.0,True,164,0.6098,0.0674,0.5,5.2914,50K,fixed_dollar,0.6,0.6,0.43,13.99
105c5d4845c6,0.75,1.25,1.0,1.0,False,345,0.6348,0.1138,0.5,14.3626,150K,fixed_dollar,0.4,0.6,0.452,14.53
c9630edbc689,0.75,1.25,1.0,1.0,True,154,0.6039,0.0522,0.5,3.2911,50K,fixed_dollar,0.6,0.6,0.378,14.23
7480508e41b2,0.75,1.5,0.0,0.0,False,364,0.6401,0.1274,0.5,18.8393,150K,fixed_dollar,0.6,0.6,0.427,14.39
496ff2d68b71,0.75,1.5,0.0,0.0,True,158,0.6076,0.0642,0.5,6.6728,50K,pct_balance,0.6,0.6,0.411,14.22
a0a65745db9b,0.75,1.5,0.0,1.0,False,342,0.6462,0.1352,0.5,19.9173,150K,pct_balance,0.6,0.6,0.418,14.32
436437c5a6c1,0.75,1.5,0.0,1.0,True,148,0.6081,0.0599,0.5,6.1557,50K,fixed_dollar,0.6,0.6,0.4,14.48
949539da9e6d,0.75,1.5,0.5,0.0,False,364,0.6401,0.1274,0.5,18.8393,150K,fixed_dollar,0.6,0.6,0.427,16.66
