combo_id,strategy,params_json,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
924213b803bc,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 1.0, ""use_200sma_filter"": false, ""max_trades_per_day"": 1}",1472,0.5414,0.0992,0.9503,11.1424,50K,pct_balance,0.4,0.8,0.414,32.34
0e157bb9dcef,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 1.0, ""use_200sma_filter"": false, ""max_trades_per_day"": 2}",1692,0.5313,0.0778,1.0923,10.8569,50K,fixed_dollar,0.4,0.8,0.376,19.83
42b5ef5dba38,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 1.0, ""use_200sma_filter"": true, ""max_trades_per_day"": 1}",875,0.5417,0.0745,0.5649,5.2673,50K,fixed_dollar,0.4,0.8,0.396,12.76
99d0cdba18e0,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 1.0, ""use_200sma_filter"": true, ""max_trades_per_day"": 2}",875,0.5417,0.0745,0.5649,5.2673,50K,fixed_dollar,0.4,0.8,0.396,14.93
990d48e2ff10,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 1.5, ""use_200sma_filter"": false, ""max_trades_per_day"": 1}",1472,0.4572,0.1108,0.9503,8.2384,25K,pct_balance,0.4,0.8,0.408,10.39
11c84612864c,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 1.5, ""use_200sma_filter"": false, ""max_trades_per_day"": 2}",1692,0.4492,0.0819,1.0923,5.4511,25K,fixed_dollar,0.2,0.8,0.462,10.45
84c97c29945c,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 1.5, ""use_200sma_filter"": true, ""max_trades_per_day"": 1}",875,0.4777,0.1047,0.5649,4.9484,50K,fixed_dollar,0.4,0.6,0.39,9.43
94c46a431375,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 1.5, ""use_200sma_filter"": true, ""max_trades_per_day"": 2}",875,0.4777,0.1047,0.5649,4.9484,50K,fixed_dollar,0.4,0.6,0.39,9.3
d8e56a9a96fa,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 2.0, ""use_200sma_filter"": false, ""max_trades_per_day"": 1}",1472,0.4205,0.1368,0.9503,9.5018,25K,pct_balance,0.2,0.8,0.544,9.88
e58da9fe8c94,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 2.0, ""use_200sma_filter"": false, ""max_trades_per_day"": 2}",1692,0.4149,0.1066,1.0923,6.577,25K,fixed_dollar,0.2,0.8,0.464,15.68
c46f32fcaca0,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""max_trades_per_day"": 1}",875,0.456,0.1564,0.5649,8.1706,50K,fixed_dollar,0.2,0.6,0.522,17.3
6382d81edc36,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""max_trades_per_day"": 2}",875,0.456,0.1564,0.5649,8.1706,50K,fixed_dollar,0.2,0.6,0.522,18.52
9a930d874b8e,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 2.5, ""use_200sma_filter"": false, ""max_trades_per_day"": 1}",1472,0.3995,0.1428,0.9503,7.2523,25K,pct_balance,0.2,0.8,0.482,18.15
84fed311253a,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 2.5, ""use_200sma_filter"": false, ""max_trades_per_day"": 2}",1692,0.3942,0.1068,1.0923,6.0839,25K,fixed_dollar,0.2,0.8,0.462,18.38
3ff5f551783d,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 2.5, ""use_200sma_filter"": true, ""max_trades_per_day"": 1}",875,0.4366,0.1607,0.5649,7.5452,50K,fixed_dollar,0.2,0.8,0.494,11.61
cb076dd26357,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.003, ""rr_ratio"": 2.5, ""use_200sma_filter"": true, ""max_trades_per_day"": 2}",875,0.4366,0.1607,0.5649,7.5452,50K,fixed_dollar,0.2,0.8,0.494,9.09
6bba0af7b304,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 1.0, ""use_200sma_filter"": false, ""max_trades_per_day"": 1}",1472,0.5265,0.0684,0.9503,6.1704,25K,martingale,0.2,1.0,0.396,9.12
ebfefc65cdff,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 1.0, ""use_200sma_filter"": false, ""max_trades_per_day"": 2}",1683,0.5163,0.0499,1.0865,4.2465,25K,fixed_dollar,0.4,1.0,0.386,9.13
6ad469d07094,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 1.0, ""use_200sma_filter"": true, ""max_trades_per_day"": 1}",875,0.5474,0.0705,0.5649,6.6409,50K,fixed_dollar,0.7,1.0,0.382,8.6
0576bbceea48,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 1.0, ""use_200sma_filter"": true, ""max_trades_per_day"": 2}",875,0.5474,0.0705,0.5649,6.6409,50K,fixed_dollar,0.7,1.0,0.382,11.8
be071e246b8b,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 1.5, ""use_200sma_filter"": false, ""max_trades_per_day"": 1}",1472,0.483,0.0819,0.9503,5.2636,25K,fixed_dollar,0.4,1.0,0.364,16.2
115d78670303,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 1.5, ""use_200sma_filter"": false, ""max_trades_per_day"": 2}",1682,0.475,0.0599,1.0859,5.1709,25K,fixed_dollar,0.2,1.0,0.526,12.06
61be13742b5f,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 1.5, ""use_200sma_filter"": true, ""max_trades_per_day"": 1}",875,0.5177,0.1007,0.5649,8.308,50K,fixed_dollar,0.4,1.0,0.448,14.91
95503391f8f4,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 1.5, ""use_200sma_filter"": true, ""max_trades_per_day"": 2}",875,0.5177,0.1007,0.5649,8.308,50K,fixed_dollar,0.4,1.0,0.448,16.59
b35062a97e64,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 2.0, ""use_200sma_filter"": false, ""max_trades_per_day"": 1}",1472,0.4633,0.0725,0.9503,3.5312,25K,fixed_dollar,0.2,1.0,0.498,12.49
889073004c9e,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 2.0, ""use_200sma_filter"": false, ""max_trades_per_day"": 2}",1682,0.4572,0.0542,1.0859,4.4572,25K,fixed_dollar,0.2,1.0,0.47,12.27
5f62f6558500,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""max_trades_per_day"": 1}",875,0.504,0.1007,0.5649,5.4068,50K,fixed_dollar,0.4,0.6,0.416,12.16
b3c038b088b3,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""max_trades_per_day"": 2}",875,0.504,0.1007,0.5649,5.4068,50K,fixed_dollar,0.4,0.6,0.416,12.44
ecd263da1a99,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 2.5, ""use_200sma_filter"": false, ""max_trades_per_day"": 1}",1472,0.4565,0.0742,0.9503,3.3427,25K,fixed_dollar,0.2,1.0,0.488,11.83
0c3b0de1a206,ORBATRBreakout,"{""atr_space_multiplier"": 0.15, ""sl_pct"": 0.005, ""rr_ratio"": 2.5, ""use_200sma_filter"": false, ""max_trades_per_day"": 2}",1682,0.4501,0.051,1.0859,3.1934,25K,fixed_dollar,0.2,1.0,0.426,17.24
